Date,Time,Temperature,Humidity
13.04.2024,21:00:00,-9.08181,80.6792
13.04.2024,21:30:00,-9.08181,82.4893
13.04.2024,22:00:00,-9.221,74.3498
13.04.2024,22:30:00,-10.232,77.9197
13.04.2024,23:00:00,-9.78022,76.83
13.04.2024,23:30:00,-10.0415,76.0897
14.04.2024,00:00:00,-10.3004,77.1993
14.04.2024,00:30:00,-11.5604,89.1087
14.04.2024,01:00:00,-12.1319,93.0891
14.04.2024,01:30:00,-11.3114,87.5992
14.04.2024,02:00:00,-11.1502,84.0995
14.04.2024,02:30:00,-11.1404,84.649
14.04.2024,03:00:00,-11.3114,90.9188
14.04.2024,03:30:00,-12.0415,95.2198
14.04.2024,04:00:00,-12.7204,90.9386
14.04.2024,04:30:00,-12.591,90.899
14.04.2024,05:00:00,-12.0415,90.4686
14.04.2024,05:30:00,-12.6618,88.0891
14.04.2024,06:00:00,-12.5104,88.6798
14.04.2024,06:30:00,-12.1807,85.4487
14.04.2024,07:00:00,-12.2515,75.7189
14.04.2024,07:30:00,-12.1319,76.5797
14.04.2024,08:00:00,-12.63,73.0296
14.04.2024,08:30:00,-12.7009,73.0586
14.04.2024,09:00:00,-11.5507,58.3288
14.04.2024,09:30:00,-12.21,60.2289
14.04.2024,10:00:00,-11.7118,57.0589
14.04.2024,10:30:00,-12.0122,58.7698
14.04.2024,11:00:00,-12.0415,57.5992
14.04.2024,11:30:00,-12.5201,60.3388
14.04.2024,12:00:00,-12.1123,61.5797
14.04.2024,12:30:00,-10.6813,55.6487
14.04.2024,13:00:00,-10.5617,56.6499
14.04.2024,13:30:00,-10.8107,58.9286
14.04.2024,14:00:00,-10.0806,55
14.04.2024,14:30:00,-9.94139,54.8886
14.04.2024,15:00:00,-9.26007,54.4597
14.04.2024,15:30:00,-9.37241,52.0085
14.04.2024,16:00:00,-8.19048,49.1392
14.04.2024,16:30:00,-7.64103,46.2698
14.04.2024,17:00:00,-7.12088,44.0491
14.04.2024,17:30:00,-7.25031,45.1099
14.04.2024,18:00:00,-6.72039,42.8297
14.04.2024,18:30:00,-6.38095,42.3993
14.04.2024,19:00:00,-5.35043,39.4597
14.04.2024,19:30:00,-3.81197,36.5095
14.04.2024,20:00:00,-7.35043,47.7091
14.04.2024,20:30:00,-5.99023,43.2585
14.04.2024,21:00:00,-8.68132,50.7494
14.04.2024,21:30:00,-8.53236,52.2589
14.04.2024,22:00:00,-9.53114,56.0699
14.04.2024,22:30:00,-9.67033,56.4591
14.04.2024,23:00:00,-10.9011,62.6999
14.04.2024,23:30:00,-10.7717,62.3687
15.04.2024,00:00:00,-10.3321,59.1987
15.04.2024,00:30:00,-10.7302,61.1691
15.04.2024,01:00:00,-10.801,61.4988
15.04.2024,01:30:00,-11.4823,65.029
15.04.2024,02:00:00,-11.431,66.3385
15.04.2024,02:30:00,-11.602,68.2387
15.04.2024,03:00:00,-11.2112,67.9792
15.04.2024,03:30:00,-11.4017,66.5293
15.04.2024,04:00:00,-12.1709,64.6795
15.04.2024,04:30:00,-12.4811,61.3599
15.04.2024,05:00:00,-13.1502,55.3892
15.04.2024,05:30:00,-12.6105,56.4087
15.04.2024,06:00:00,-12.4615,57.239
15.04.2024,06:30:00,-12.5104,48.8187
15.04.2024,07:00:00,-13.1404,49.6993
15.04.2024,07:30:00,-13.3407,55.87
15.04.2024,08:00:00,-11.9023,52.3199
15.04.2024,08:30:00,-8.72039,41.659
15.04.2024,09:00:00,-9.02076,42.5794
15.04.2024,09:30:00,-4.9304,31.6896
15.04.2024,10:00:00,-5.92186,34.2491
15.04.2024,10:30:00,-5.99023,34.1896
15.04.2024,11:00:00,-8.78144,43.5897
15.04.2024,11:30:00,-8.82051,42.7091
15.04.2024,12:00:00,-8.06105,39.5589
15.04.2024,12:30:00,-7.43101,38.3196
15.04.2024,13:00:00,-7.24054,40.6197
15.04.2024,13:30:00,-9.11111,47.3199
15.04.2024,14:00:00,-8.07082,35.58
15.04.2024,14:30:00,-6.83028,36.5293
15.04.2024,15:00:00,-9.99023,48.9286
15.04.2024,15:30:00,-10.4005,58.5195
15.04.2024,16:00:00,-10.3004,52.3092
15.04.2024,16:30:00,-7.5116,50.0488
15.04.2024,17:00:00,-6.11233,44.62
15.04.2024,17:30:00,-2.73016,34.2186
15.04.2024,18:00:00,-4.08059,33.7592
15.04.2024,18:30:00,-3.01099,30.5189
15.04.2024,19:00:00,-4.84005,39.1194
15.04.2024,19:30:00,-6.86203,40.1389
15.04.2024,20:00:00,-9.26007,44.8397
15.04.2024,20:30:00,-8.67155,42.2497
15.04.2024,21:00:00,-6.18071,36.7888
15.04.2024,21:30:00,-8.65202,39.3391
15.04.2024,22:00:00,-10.591,45.319
15.04.2024,22:30:00,-11.2918,47.149
15.04.2024,23:00:00,-11.5018,47.4588
15.04.2024,23:30:00,-11.2112,48.0891
16.04.2024,00:00:00,-11.3211,49.8794
16.04.2024,00:30:00,-10.9719,46.5186
16.04.2024,01:00:00,-12.9304,53.5897
16.04.2024,01:30:00,-12.1416,48.9087
16.04.2024,02:00:00,-11.9121,47.3886
16.04.2024,02:30:00,-12.9304,52.2787
16.04.2024,03:00:00,-12.652,48.7592
16.04.2024,03:30:00,-12.8718,54.7695
16.04.2024,04:00:00,-14.232,61.8193
16.04.2024,04:30:00,-13.9121,61.2897
16.04.2024,05:00:00,-13.9023,62.6694
16.04.2024,05:30:00,-13.2918,60.3999
16.04.2024,06:00:00,-13.8217,61.0287
16.04.2024,06:30:00,-13.4603,59.4597
16.04.2024,07:00:00,-12.5812,58.2097
16.04.2024,07:30:00,-12.0122,55.6792
16.04.2024,08:00:00,-10.8816,49.33
16.04.2024,08:30:00,-11.2503,49.649
16.04.2024,09:00:00,-9.84127,45.7494
16.04.2024,09:30:00,-6.9304,37.0894
16.04.2024,10:00:00,-8.81075,41.9994
16.04.2024,10:30:00,-10.4518,46.8498
16.04.2024,11:00:00,-7.61172,39.2491
16.04.2024,11:30:00,-8.05128,43.0098
16.04.2024,12:00:00,-8.19048,42.0696
16.04.2024,12:30:00,-8.23199,44.2598
16.04.2024,13:00:00,-9.88034,47.0589
16.04.2024,13:30:00,-9.6801,46.5186
16.04.2024,14:00:00,-8.74237,45.1099
16.04.2024,14:30:00,-8.55189,44.159
16.04.2024,15:00:00,-8.50061,46.5186
16.04.2024,15:30:00,-8.94017,46.9399
16.04.2024,16:00:00,-8.50061,43.5287
16.04.2024,16:30:00,-5.9707,38.7698
16.04.2024,17:00:00,-6.45177,42.7289
16.04.2024,17:30:00,-4.83028,35.9295
16.04.2024,18:00:00,-7.88034,52.2894
16.04.2024,18:30:00,-7.88034,46.4499
16.04.2024,19:00:00,-4.63004,34.3987
16.04.2024,19:30:00,-5.24054,40.29
16.04.2024,20:00:00,-6.04151,39.0491
16.04.2024,20:30:00,-6.46154,38.7088
16.04.2024,21:00:00,-7.44078,39.2491
16.04.2024,21:30:00,-11.0012,56.2088
16.04.2024,22:00:00,-11.2503,53.7988
16.04.2024,22:30:00,-12.1123,56.4789
16.04.2024,23:00:00,-12.652,58.5089
16.04.2024,23:30:00,-12.6203,56.6789
17.04.2024,00:00:00,-12.9402,57.0299
17.04.2024,00:30:00,-12.022,53.9286
17.04.2024,01:00:00,-12.0415,53.37
17.04.2024,01:30:00,-12.2808,53.75
17.04.2024,02:00:00,-12.3907,55.7494
17.04.2024,02:30:00,-12.0122,54.5498
17.04.2024,03:00:00,-11.9805,54.0797
17.04.2024,03:30:00,-11.9512,54.4795
17.04.2024,04:00:00,-11.9023,55.1999
17.04.2024,04:30:00,-11.8315,54.8489
17.04.2024,05:00:00,-11.5018,52.2985
17.04.2024,05:30:00,-12.022,54.8596
17.04.2024,06:00:00,-12.3712,56.6087
17.04.2024,06:30:00,-12.0708,59.91
17.04.2024,07:00:00,-11.8608,58.3196
17.04.2024,07:30:00,-12.1416,59.0186
17.04.2024,08:00:00,-9.85104,52.4893
17.04.2024,08:30:00,-8.80098,45.8791
17.04.2024,09:00:00,-6.99145,39.8092
17.04.2024,09:30:00,-4.21001,34.739
17.04.2024,10:00:00,-4.55189,34.1697
17.04.2024,10:30:00,-4.63004,36.6499
17.04.2024,11:00:00,-2.68132,34.04
17.04.2024,11:30:00,-4.91087,38.9087
17.04.2024,12:00:00,-4.02198,37.5198
17.04.2024,12:30:00,-6.23199,44.8397
17.04.2024,13:00:00,-5.8022,47.0788
17.04.2024,13:30:00,-4.62027,43.8492
17.04.2024,14:00:00,-5.5116,46.569
17.04.2024,14:30:00,-5.04029,46.4591
17.04.2024,15:00:00,-6.18071,51.6392
17.04.2024,15:30:00,-5.14042,49.9496
17.04.2024,16:00:00,-5.52137,47.1993
17.04.2024,16:30:00,-1.37241,37.79
17.04.2024,17:00:00,-7.31136,46.5888
17.04.2024,17:30:00,-8.05128,44.7085
17.04.2024,18:00:00,-7.10134,42.3199
